ts_code,datetime,open,high,low,close,pre_close,change,pct_chg,volume,amount
603165.SH,2017-01-17,5.67,5.67,5.67,5.67,3.94,1.73,43.91,228.82,343.916
603165.SH,2017-01-18,6.23,6.23,6.23,6.23,5.67,0.5600000000000005,9.88,51.15,84.551
603165.SH,2017-01-19,6.86,6.86,6.86,6.86,6.23,0.6299999999999999,10.11,88.39,160.693
603165.SH,2017-01-20,7.54,7.54,7.54,7.54,6.86,0.6799999999999997,9.91,255.0,510.0
603165.SH,2017-01-23,8.3,8.3,8.3,8.3,7.54,0.7600000000000007,10.08,558.01,1227.622
603165.SH,2017-01-24,9.13,9.13,9.13,9.13,8.3,0.8300000000000001,10.0,438.56,1061.315
603165.SH,2017-01-25,10.04,10.04,10.04,10.04,9.13,0.9099999999999984,9.97,992.51,2642.062
603165.SH,2017-01-26,11.04,11.04,11.04,11.04,10.04,1.0,9.96,4153.15,12160.423
603165.SH,2017-02-03,12.15,12.15,11.95,12.15,11.04,1.1100000000000012,10.05,43032.46,138606.498
603165.SH,2017-02-06,12.37,13.36,12.0,13.24,12.15,1.0899999999999999,8.97,213846.92,724247.123
603165.SH,2017-02-07,12.67,13.05,12.53,12.95,13.24,-0.2900000000000009,-2.19,171509.73,580126.93
603165.SH,2017-02-08,12.61,14.01,12.6,13.63,12.95,0.6800000000000015,5.25,157058.0,553265.344
603165.SH,2017-02-09,13.52,14.26,13.27,13.39,13.63,-0.2400000000000002,-1.76,130594.19,471661.049
603165.SH,2017-02-10,13.34,13.75,13.12,13.29,13.39,-0.10000000000000142,-0.75,100772.45,358245.251
603165.SH,2017-02-13,13.28,14.36,13.28,14.0,13.29,0.7100000000000009,5.34,125187.98,460181.139
603165.SH,2017-02-14,13.97,14.33,13.8,14.25,14.0,0.25,1.79,100578.65,374693.364
603165.SH,2017-02-15,15.08,15.67,15.08,15.67,14.25,1.42,9.96,31914.39,131430.394
603165.SH,2017-02-16,16.78,16.78,15.08,15.45,15.67,-0.22000000000000064,-1.4,152459.17,647967.247
603165.SH,2017-02-17,15.2,15.84,14.4,14.51,15.45,-0.9399999999999995,-6.08,104524.57,415088.611
603165.SH,2017-02-20,14.61,15.23,14.26,15.13,14.51,0.620000000000001,4.27,85405.87,333988.495
603165.SH,2017-02-21,15.03,15.38,14.82,15.03,15.13,-0.10000000000000142,-0.66,67471.92,269450.66
603165.SH,2017-02-22,15.04,15.22,14.65,15.12,15.03,0.08999999999999986,0.6,55168.44,218886.968
603165.SH,2017-02-23,15.01,15.82,14.98,15.31,15.12,0.19000000000000128,1.26,68913.4,282264.131
603165.SH,2017-02-24,15.15,15.65,15.15,15.45,15.31,0.1399999999999988,0.91,51011.44,208865.318
603165.SH,2017-02-27,15.5,15.63,15.23,15.4,15.45,-0.049999999999998934,-0.32,38910.66,159037.357
603165.SH,2017-02-28,15.3,15.42,14.77,15.25,15.4,-0.15000000000000036,-0.97,55218.25,220426.622
603165.SH,2017-03-01,15.19,15.7,15.13,15.33,15.25,0.08000000000000007,0.52,46271.68,189216.103
603165.SH,2017-03-02,15.16,15.63,15.0,15.23,15.33,-0.09999999999999964,-0.65,54014.71,219208.771
603165.SH,2017-03-03,15.12,15.19,14.91,15.17,15.23,-0.0600000000000005,-0.39,35299.75,141101.526
603165.SH,2017-03-06,15.22,16.3,15.22,16.05,15.17,0.8800000000000008,5.8,85869.1,360510.412
603165.SH,2017-03-07,15.99,16.28,15.8,16.26,16.05,0.21000000000000085,1.31,65244.11,277652.983
603165.SH,2017-03-08,16.21,16.31,15.88,16.25,16.26,-0.010000000000001563,-0.06,47915.09,205057.556
603165.SH,2017-03-09,16.16,16.16,15.69,15.89,16.25,-0.35999999999999943,-2.22,46375.6,194966.742
603165.SH,2017-03-10,15.79,16.01,15.65,15.79,15.89,-0.10000000000000142,-0.63,32653.94,136803.007
603165.SH,2017-03-13,15.76,16.02,15.39,15.97,15.79,0.1800000000000015,1.14,34800.91,145122.743
603165.SH,2017-03-14,15.92,16.31,15.83,15.88,15.97,-0.08999999999999986,-0.56,44245.12,188491.467
603165.SH,2017-03-15,15.84,16.18,15.58,16.09,15.88,0.20999999999999908,1.32,39892.67,168915.606
