ts_code,trade_date,total_mv,circ_mv
603386.SH,20260105,508736.871,508736.871
002663.SZ,20260105,329159.6403,246942.3947
300456.SZ,20260105,3887319.5284,3171857.1551
000657.SZ,20260105,6494022.54,4116480.7742
603395.SH,20260105,772460.0,193115.0
688027.SH,20260105,5413163.0386,4229781.5956
603429.SH,20260105,527632.3778,527632.3778
300917.SZ,20260105,675831.0,675831.0
301266.SZ,20260105,407363.8013,386478.7973
688399.SH,20260105,577708.4142,577708.4142
603737.SH,20260105,3471431.2105,3471431.2105
601158.SH,20260105,2150410.0603,2150410.0603
600221.SH,20260105,7692382.5912,7626501.6581
603897.SH,20260105,553041.1894,553041.1894
600539.SH,20260105,235980.0,235980.0
001299.SZ,20260105,321253.5143,289162.8168
002406.SZ,20260105,579798.7151,478157.041
002572.SZ,20260105,1311670.2374,887293.4504
300121.SZ,20260105,566779.2947,546625.9874
003011.SZ,20260105,222396.216,169140.2672
002112.SZ,20260105,399724.4122,356166.1085
600187.SH,20260105,406672.838,406672.838
688334.SH,20260105,625561.0248,310043.6832
000021.SZ,20260105,4141378.1649,4140715.9236
688371.SH,20260105,647797.1194,647797.1194
603360.SH,20260105,2285339.7443,2285339.7443
002928.SZ,20260105,1394561.5311,1394554.5759
688515.SH,20260105,847040.0,527487.8072
000875.SZ,20260105,2045780.6331,1885116.345
600521.SH,20260105,2657621.3096,2657621.3096
300215.SZ,20260105,483165.7506,322416.4054
001306.SZ,20260105,539258.148,132990.0
300884.SZ,20260105,450860.3683,339943.9575
688488.SH,20260105,696816.33,696816.33
000565.SZ,20260105,318690.2817,318690.2817
605138.SH,20260105,392232.5386,392232.5386
605365.SH,20260105,1320293.8639,1320293.8639
002434.SZ,20260105,1248282.6,1247085.3386
000523.SZ,20260105,701148.9521,506211.1788
002530.SZ,20260105,825170.8673,736135.6107
688219.SH,20260105,685900.8,685900.8
688575.SH,20260105,833084.1414,833084.1414
301638.SZ,20260105,6241653.4015,461266.0521
688186.SH,20260105,648771.8804,648771.8804
603226.SH,20260105,1153215.3019,1153215.3019
300986.SZ,20260105,552869.0745,552439.4479
603312.SH,20260105,759037.628,241562.108
000430.SZ,20260105,618561.4242,283105.1553
601238.SH,20260105,8351396.9721,6047248.3303
301613.SZ,20260105,765666.9578,446606.3378
600929.SH,20260105,918463.4234,918190.2789
300008.SZ,20260105,1448088.4135,1380429.0795
600028.SH,20260105,73643638.1612,57704257.5034
002348.SZ,20260105,583475.2,556576.3274
300331.SZ,20260105,860780.4781,696865.9406
603389.SH,20260105,1192894.08,1192894.08
002825.SZ,20260105,396180.7473,297591.0493
605018.SH,20260105,539635.5304,539635.5304
002132.SZ,20260105,490540.6443,489818.7546
688020.SH,20260105,639041.976,639041.976
300659.SZ,20260105,408295.2487,298441.7191
600118.SH,20260105,11759854.4476,11759854.4476
300036.SZ,20260105,900284.6093,801098.8986
000837.SZ,20260105,1343390.484,1322720.5815
688699.SH,20260105,497492.1728,497492.1728
300413.SZ,20260105,4630034.0171,2528707.3961
920855.BJ,20260105,135267.3327,121336.8089
600826.SH,20260105,852483.3833,852483.3833
002182.SZ,20260105,1541244.0734,1345006.3644
001209.SZ,20260105,273961.8258,200165.1268
301365.SZ,20260105,430740.0,242607.9683
601200.SH,20260105,1090446.5033,1090446.5033
300866.SZ,20260105,6154553.1478,3466355.6546
000729.SZ,20260105,3323057.883,2958826.2604
000538.SZ,20260105,10227393.2404,10161655.8614
002134.SZ,20260105,650518.4861,650114.9394
300727.SZ,20260105,648671.0036,582924.8458
000993.SZ,20260105,551373.5518,529456.0767
600315.SH,20260105,1537380.8163,1537380.8163
301026.SZ,20260105,459152.8363,323695.5121
000810.SZ,20260105,1442976.8119,1403815.0532
301078.SZ,20260105,1352009.2044,1344507.7932
000066.SZ,20260105,4716118.2667,4715812.3432
600608.SH,20260105,112470.6128,108883.0328
300930.SZ,20260105,301500.0,142081.878
605060.SH,20260105,929888.08,923504.646
300903.SZ,20260105,830632.9273,657775.5095
002042.SZ,20260105,712585.4877,712585.4877
002650.SZ,20260105,714069.0665,714044.879
300289.SZ,20260105,393864.3166,393245.2966
688102.SH,20260105,3214051.0756,3040685.2919
600566.SH,20260105,2437535.578,2429306.7826
601886.SH,20260105,923396.6789,923396.6789
300081.SZ,20260105,325379.9343,325330.667
001234.SZ,20260105,299027.6421,250125.5265
600529.SH,20260105,1348463.8776,1348463.8776
300729.SZ,20260105,470742.2689,438117.6779
603051.SH,20260105,357531.966,357531.966
601388.SH,20260105,677976.5657,677976.5657
600449.SH,20260105,593900.8542,593900.8542
